特征名称,累计收益,年化收益,年化波动,夏普,Normal_IC
feature1_feature2_sum_20_mean,0.358558,0.119328,0.18192,0.545997,-0.025818
feature1_feature2_difference_20_bias,0.33218,0.111283,0.18194,0.501719,-0.041838
feature2_feature3_difference_5_mean,0.501403,0.157548,0.182032,0.755625,-0.04134
feature2_20_bias,0.201339,0.069813,0.182025,0.273657,-0.022023
feature3_10_vol,-0.232567,-0.091517,0.182533,-0.610941,0.024099
feature1_feature2_quotient_10_bias,0.061246,0.023277,0.178864,0.018322,0.029454
feature1_feature2_difference_20_mean,0.388797,0.128429,0.181896,0.596105,0.062721
feature1_feature2_product,0.291405,0.095861,0.181815,0.417242,0.037132
feature1_feature3_product_10_vol,0.334262,0.110225,0.182441,0.494545,0.048197
feature2_feature3_product_20_bias,0.989193,0.287888,0.181309,1.477525,-0.106402
feature2_feature3_product_5_bias,0.013779,0.005033,0.181123,-0.082637,0.043888
feature2_feature3_sum_10_mean,1.141988,0.318108,0.181667,1.640957,-0.084519
feature2_feature3_quotient_5_20,0.716561,0.227223,0.178461,1.161168,-0.06216
feature1_5_10,0.39306,0.12831,0.18253,0.593381,-0.022827
feature1_feature2_quotient,0.355515,0.116605,0.181641,0.531849,0.037455
feature1_feature2_quotient_20_bias,0.50663,0.178463,0.176291,0.898871,0.054359
feature1_feature3_product_20_bias,0.529777,0.169288,0.181776,0.821275,0.040748
feature2_feature3_quotient_5_vol,0.262811,0.088289,0.180569,0.378188,-0.033418
feature1_feature2_product_20_bias,0.762502,0.231819,0.18155,1.166728,0.097782
feature1_feature3_product_10_bias,-0.015252,-0.005581,0.182734,-0.139993,0.06716
feature2_feature3_sum_5_bias,-0.089114,-0.033043,0.182318,-0.290937,-0.035405
feature1_feature3_product_10_20,0.428849,0.140294,0.181864,0.661452,0.064068
feature1_feature2_product_5_bias,0.958719,0.286254,0.181336,1.468293,0.096023
feature1_feature3_sum_5_mean,0.22387,0.075436,0.182234,0.304203,-0.055886
feature1_feature2_quotient_5_bias,-0.080997,-0.031975,0.180036,-0.28869,0.051652
feature1_feature2_quotient_5_20,0.219766,0.082843,0.176552,0.355946,0.030849
feature1_feature2_sum_10_bias,-0.068549,-0.02542,0.1826,-0.248738,0.027562
feature1_feature3_product_5_10,0.016147,0.00585,0.18273,-0.077435,0.061577
feature1_feature2_quotient_10_20,0.307177,0.113288,0.176484,0.528593,0.051506
feature1_feature3_product_20_vol,-0.003006,-0.001107,0.1821,-0.115909,0.029215
feature2_feature3_product_20_mean,0.402768,0.132592,0.181885,0.619029,0.046089
feature1_feature3_sum_20_mean,-0.031338,-0.011645,0.182102,-0.173775,-0.04456
feature1_feature3_sum_5_10,0.329946,0.108922,0.182444,0.487392,-0.05892
feature1_feature3_product_5_bias,-0.125175,-0.047939,0.183302,-0.370636,0.032621
feature2_feature3_product_5_mean,0.097124,0.033932,0.182294,0.076426,0.062038
feature1_feature2_quotient_5_vol,0.430488,0.144374,0.178798,0.695613,0.050748
feature1_feature2_product_5_20,0.090134,0.032258,0.182077,0.067323,0.080521
feature1_feature2_difference_5_20,0.180809,0.06305,0.182036,0.236491,-0.08095
feature2_feature3_sum_20_vol,-0.22839,-0.090975,0.182035,-0.609639,-0.022693
feature3_10_mean,0.129776,0.045236,0.182561,0.138235,-0.027679
feature1_feature3_product_5_20,0.218912,0.075543,0.182015,0.305155,0.039026
feature2_feature3_sum,0.581382,0.178274,0.181586,0.871618,-0.056793
feature2_feature3_product_10_bias,-0.108963,-0.041436,0.181927,-0.337695,0.030851
feature1_feature2_difference_5_mean,0.260533,0.086925,0.182212,0.36729,0.091382
feature3_10_bias,0.239094,0.080833,0.182504,0.333324,-0.062789
feature2_5_20,0.570689,0.180697,0.181738,0.884219,-0.076474
feature2_5_10,0.255128,0.086926,0.181826,0.368078,-0.027837
feature3_10_20,0.011871,0.004351,0.182097,-0.085939,-0.024501
feature1_feature3_product_10_mean,0.140661,0.048877,0.182556,0.158179,-0.041363
